id,name
2699,Sea Salt & Vinegar Chips
2700,Slim 2 Roast Beef
2701,Slim 3 Tuna salad
2702,Slim 4 Turkey breast
2703,Slim 4 Turkey breast
2704,"Slim 5 Salami, capicola, cheese"
2705,Slim 6 Double provolone
2706,The J.J. Gargantuan®
2707,The J.J. Gargantuan® Unwich
2708,Thinny Chips
2709,Add Coconut Shrimp
2710,Add Fried Shrimp
2711,Add Snow Crab
2712,Apple Sauce
2713,Aruba Chicken Salad
2714,Aruba Shrimp Salad
2715,Bean Town Bake
2716,Big Cheese Cheesecake
2717,Big Shrimp Platter
2718,Blackened Mahi Sandwich
2719,Blackened Tilapia
2720,Broccoli Florets
2721,Bucket of Shrimp
2722,Bucket of Shrimp
2723,Caesar Salad
2724,Caesar Salad – Chicken
2725,Caesar Salad – Shrimp
2726,Caesar Side Salad
2727,"Calamari, Fried"
2728,Captain’s Catch
2729,Caribbean Feast
2730,Celery & Ranch
2731,Cheesy Mac
2732,Cheesy New Potatoes
2733,Chicken Chipotle Caesar
2734,Chicken Club Sandwich – Blackened
2735,Chicken Club Sandwich – Grilled
2736,Chicken Dippers
2737,Chocolate Shack Attack
2738,Chocolate Sundae
2739,Clam Chowder
2740,Classic Cobb Salad – Chicken
2741,Classic Cobb Salad – Shrimp
2742,Classic Cobb Salad – Snow
2743,Classic Sampler
2744,Coconut Shrimp
2745,Coleslaw
2746,Corn on the Cob
2747,Crab Cake Chipotle Caesar
2748,Crab Cake Dinner
2749,Crab Cake Sandwich
2750,Crab Daddy Feast – excluding side of butter
2751,Crab Nachos
2752,Crab Stuffed Mushrooms
2753,Crab Stuffed Shrimp
2754,Crabby Apple Crumble
2755,Crawfish Half ‘n Half
2756,Crazy Good Crab Dip
2757,Crispy Shrimp
